rownum,bioassay_id,material_id,cell_type_id,nanoparticle,type_organic_inorganic,coat,diameter,dose,zeta_potential,cell_type,cell_line_or_primary,human_or_animal,animal_species,cell_morphology,cell_age_embryonic_or_adult,cell_organ_or_tissue,exposure_time,test_assay,test_indicator,biochemical_metric,cell_viability,inference_checked_y_n,colloidal_stability_checked_y_n,positive_control_y_n,publication_year,particle_id,reference_doi
45,6,4,4,CuO,I,,239.0,3.6815251e-09,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,45.19597,N,Y,N,2011,4,10.1007/s10565-011-9191-9
46,6,4,4,CuO,I,,239.0,3.68152516e-08,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,30.16451,N,Y,N,2011,4,10.1007/s10565-011-9191-9
47,6,4,4,CuO,I,,239.0,1.840762581e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,11.39032,N,Y,N,2011,4,10.1007/s10565-011-9191-9
48,6,4,4,CuO,I,,239.0,3.681525162e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,5.73629,N,Y,N,2011,4,10.1007/s10565-011-9191-9
49,6,4,4,CuO,I,,239.0,7.363050324e-07,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,-1.79274,N,Y,N,2011,4,10.1007/s10565-011-9191-9
50,6,4,4,CuO,I,,239.0,1.840762581e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,-16.81935,N,Y,N,2011,4,10.1007/s10565-011-9191-9
51,6,4,4,CuO,I,,239.0,3.681525162e-06,,HCMEC,P,H,Human,Endothelial,A,Heart,24,LDH,LDH activity assay kit,LDH leakage,-37.47339,N,Y,N,2011,4,10.1007/s10565-011-9191-9
52,7,5,5,CuO,I,,33.0,0.001,,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,34.999928,N,N,N,2008,5,10.1080/17458080802235765
53,7,5,5,CuO,I,,33.0,0.1,,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,32.006794,N,N,N,2008,5,10.1080/17458080802235765
54,7,5,5,CuO,I,,33.0,1.0,,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,37.407795,N,N,N,2008,5,10.1080/17458080802235765
55,7,5,5,CuO,I,,33.0,10.0,,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,41.71446,N,N,N,2008,5,10.1080/17458080802235765
56,7,5,5,CuO,I,,33.0,100.0,,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,48,MTS,tetrazolium salt,cell metabolic activity,-1.4239597,N,N,N,2008,5,10.1080/17458080802235765
57,8,5,6,CuO,I,,33.0,0.001,,H4,L,H,Human,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,71.82643,N,N,N,2008,5,10.1080/17458080802235765
58,8,5,6,CuO,I,,33.0,0.1,,H4,L,H,Human,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,59.056118,N,N,N,2008,5,10.1080/17458080802235765
59,8,5,6,CuO,I,,33.0,1.0,,H4,L,H,Human,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,68.19899,N,N,N,2008,5,10.1080/17458080802235765
60,8,5,6,CuO,I,,33.0,10.0,,H4,L,H,Human,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,38.425575,N,N,N,2008,5,10.1080/17458080802235765
61,8,5,6,CuO,I,,33.0,100.0,,H4,L,H,Human,Epithelial,A,Brain,48,MTS,tetrazolium salt,cell metabolic activity,-0.036262684,N,N,N,2008,5,10.1080/17458080802235765
62,9,5,5,CuO,I,,33.0,0.001,,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,97.65237,N,N,N,2008,5,10.1080/17458080802235765
63,9,5,5,CuO,I,,33.0,0.1,,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,98.91648,N,N,N,2008,5,10.1080/17458080802235765
64,9,5,5,CuO,I,,33.0,1.0,,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,97.65237,N,N,N,2008,5,10.1080/17458080802235765
65,9,5,5,CuO,I,,33.0,10.0,,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,89.75169,N,N,N,2008,5,10.1080/17458080802235765
66,9,5,5,CuO,I,,33.0,100.0,,SH-SY5Y,L,H,Human,Epithelial,A,Bone Marrow,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,41.083523,N,N,N,2008,5,10.1080/17458080802235765
67,10,5,6,CuO,I,,33.0,0.001,,H4,L,H,Human,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,98.284424,N,N,N,2008,5,10.1080/17458080802235765
68,10,5,6,CuO,I,,33.0,0.1,,H4,L,H,Human,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,98.60045,N,N,N,2008,5,10.1080/17458080802235765
69,10,5,6,CuO,I,,33.0,1.0,,H4,L,H,Human,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,97.33634,N,N,N,2008,5,10.1080/17458080802235765
70,10,5,6,CuO,I,,33.0,10.0,,H4,L,H,Human,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,90.06772,N,N,N,2008,5,10.1080/17458080802235765
71,10,5,6,CuO,I,,33.0,100.0,,H4,L,H,Human,Epithelial,A,Brain,48,Live/Dead,"Calcein AM, Ethidium homodimer-1",cell membrane integrity,60.6772,N,N,N,2008,5,10.1080/17458080802235765
72,11,6,7,CuS,I,,3.0,100.0,,HEK-293,L,H,Human,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,97.88231,N,N,N,2010,6,10.2217/nnm.10.85
73,11,6,7,CuS,I,,3.0,200.0,,HEK-293,L,H,Human,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,96.61061,N,N,N,2010,6,10.2217/nnm.10.85
74,11,6,7,CuS,I,,3.0,400.0,,HEK-293,L,H,Human,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,95.936755,N,N,N,2010,6,10.2217/nnm.10.85
75,11,6,7,CuS,I,,3.0,0.001,,HEK-293,L,H,Human,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,100.76336,N,N,N,2010,6,10.2217/nnm.10.85
76,11,6,7,CuS,I,,3.0,0.01,,HEK-293,L,H,Human,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,101.52672,N,N,N,2010,6,10.2217/nnm.10.85
77,11,6,7,CuS,I,,3.0,0.1,,HEK-293,L,H,Human,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,100.0,N,N,N,2010,6,10.2217/nnm.10.85
78,11,6,7,CuS,I,,3.0,1.0,,HEK-293,L,H,Human,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,103.30789,N,N,N,2010,6,10.2217/nnm.10.85
79,11,6,7,CuS,I,,3.0,10.0,,HEK-293,L,H,Human,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,97.96438,N,N,N,2010,6,10.2217/nnm.10.85
80,11,6,7,CuS,I,,3.0,100.0,,HEK-293,L,H,Human,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,89.31298,N,N,N,2010,6,10.2217/nnm.10.85
81,11,6,7,CuS,I,,3.0,1000.0,,HEK-293,L,H,Human,Epithelial,E,Kidney,48,WST-1,tetrazolium salt,cell metabolic activity,52.92621,N,N,N,2010,6,10.2217/nnm.10.85
82,12,7,8,ZnO,I,,165.0,1.0067604e-09,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,100.481926,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
83,12,7,8,ZnO,I,,165.0,1.0067604e-08,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,96.14458,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
84,12,7,8,ZnO,I,,165.0,1.006760408e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,91.084335,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
85,12,7,8,ZnO,I,,165.0,6.292252552e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
86,12,7,8,ZnO,I,,165.0,1.006760408e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
87,12,7,8,ZnO,I,,165.0,2.516901021e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,MTT,tetrazolium salt,cell metabolic activity,69.39759,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
88,12,7,8,ZnO,I,,165.0,1.0067604e-09,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,96.14458,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
89,12,7,8,ZnO,I,,165.0,1.0067604e-08,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,93.97591,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
90,12,7,8,ZnO,I,,165.0,1.006760408e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,90.36144,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
91,12,7,8,ZnO,I,,165.0,6.292252552e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,85.30121,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
92,12,7,8,ZnO,I,,165.0,1.006760408e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,76.6265,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
93,12,7,8,ZnO,I,,165.0,2.516901021e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,MTT,tetrazolium salt,cell metabolic activity,63.614456,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
94,12,7,8,ZnO,I,,165.0,1.0067604e-09,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,99.75903,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
95,12,7,8,ZnO,I,,165.0,1.0067604e-08,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,88.19277,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
96,12,7,8,ZnO,I,,165.0,1.006760408e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
97,12,7,8,ZnO,I,,165.0,6.292252552e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,52.04819,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
98,12,7,8,ZnO,I,,165.0,1.006760408e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,26.024096,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
99,12,7,8,ZnO,I,,165.0,2.516901021e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,MTT,tetrazolium salt,cell metabolic activity,7.2289157,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
100,12,7,8,ZnO,I,,165.0,1.0067604e-09,-26.0,A431,L,H,Human,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,90.36144,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
101,12,7,8,ZnO,I,,165.0,1.0067604e-08,-26.0,A431,L,H,Human,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,88.19277,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
102,12,7,8,ZnO,I,,165.0,1.006760408e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,86.02409,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
103,12,7,8,ZnO,I,,165.0,6.292252552e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,41.92771,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
104,12,7,8,ZnO,I,,165.0,1.006760408e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,9.397591,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
105,12,7,8,ZnO,I,,165.0,2.516901021e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,48,MTT,tetrazolium salt,cell metabolic activity,6.506024,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
106,13,7,8,ZnO,I,,165.0,1.0067604e-09,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,100.52232,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
107,13,7,8,ZnO,I,,165.0,1.0067604e-08,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,97.6419,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
108,13,7,8,ZnO,I,,165.0,1.006760408e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,98.22968,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
109,13,7,8,ZnO,I,,165.0,6.292252552e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,104.363815,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
110,13,7,8,ZnO,I,,165.0,1.006760408e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,101.48339,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
111,13,7,8,ZnO,I,,165.0,2.516901021e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,3,NR,toluylene red,lysosomal uptake,99.29382,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
112,13,7,8,ZnO,I,,165.0,1.0067604e-09,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,99.02918,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
113,13,7,8,ZnO,I,,165.0,1.0067604e-08,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,98.22968,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
114,13,7,8,ZnO,I,,165.0,1.006760408e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,95.34369,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
115,13,7,8,ZnO,I,,165.0,6.292252552e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,92.463264,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
116,13,7,8,ZnO,I,,165.0,1.006760408e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,82.640854,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
117,13,7,8,ZnO,I,,165.0,2.516901021e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,6,NR,toluylene red,lysosomal uptake,63.115814,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
118,13,7,8,ZnO,I,,165.0,1.0067604e-09,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,101.80375,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
119,13,7,8,ZnO,I,,165.0,1.0067604e-08,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,101.001465,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
120,13,7,8,ZnO,I,,165.0,1.006760408e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,97.424614,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
121,13,7,8,ZnO,I,,165.0,6.292252552e-07,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,88.99784,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
122,13,7,8,ZnO,I,,165.0,1.006760408e-06,-26.0,A431,L,H,Human,Epithelial,A,Skin,24,NR,toluylene red,lysosomal uptake,54.897972,N,N,N,2009,7,10.1016/j.toxlet.2009.01.008
